h,a,y,relative_error
2.75,3.30140e0,0.001489881617527278377132199194477587364173592451102404362716561152289412271971935846102154899997529467022787889619328192214195529016493082845006181494013,1.00171e-20
2.75,3.64178e0,0.001489881617527278377147122000338464665784560296352314805928113601999172554963716594562834072668409956912704427143343857446719747426667912164492336567709,1.00201e-24
2.75,3.95437e0,0.001489881617527278377147123493064187164000619674971389536472711955571117449702939454974659470231495882368016419638610406832982885340868201568670732307706,1.00146e-28
2.75,4.24494e0,0.001489881617527278377147123493213378654555736936094478869522231755569122392953131787490659548719259317849785949199120468043412561626824963068448085582798,1.00124e-32
2.75,4.51749e0,0.00148988161752727837714712349321339357034467505014565177001247783489469190579120930917354209176957633735452833448324332219637336611343969916748055440212,1.00300e-36
2.75,4.77512e0,0.001489881617527278377147123493213393571838879062707318228507484032200898552172301799114246971977551764348727104818331588822520821336549212415827403463932,1.00101e-40
3,1.82796e0,6.74949009057238970195594088135480498522988513170500493610457356475362503822198407116640460210695868931581864019578872229519026859159095182264596623328e-4,1.00123e-8
3,2.29386e0,6.749490158143718552493347257293602628882530209760132961054195599382950109963350208762017834376545625407013840858970302421279072001096299627038448633405e-4,1.00068e-12
3,2.68620e0,6.749490158150471956970417200374468752232308086605912214842331355427765577460750822392281729400841943678037920216465634899554987327924112386891653777647e-4,1.00198e-16
3,3.03141e0,6.749490158150472633191453451560627013182977778922810385114399278600761801654523211122476740539349749483600898889264886901551901016856186543545004808533e-4,1.00186e-20
3,3.34310e0,6.749490158150472633259067083699403873384700617122761565813743386159433013704198373421268881280480722635749784434269904064957819268294867234230137721636e-4,1.00071e-24
3,3.62931e0,6.749490158150472633259073837299420908857648560647022540009492517532361751661942752264832817495293380327935197612876191655143398760445235268779067599958e-4,1.00077e-28
3,3.89543e0,6.749490158150472633259073837974819384995643923204859313073797461530081001060716487846145652633177939655398006104422255296870215407244201892509754900719e-4,1.00014e-32
3,4.14502e0,6.749490158150472633259073837974886882377739719430288466857393965662512935978671918760486173446541116478141012339234793588814378456240838806280851720648e-4,1.00291e-36
3,4.38094e0,6.749490158150472633259073837974886889146163660336168674007224454719048290108990177693302496047149897172947306306545252089055603650768486310794778536021e-4,1.00323e-40
