h,a,T
0.001953125,2.3182538441796384E-69,3.6896085490532464000861133417290888747973998677899922265019499383592556376e-70
0.001953125,3.7092061506874214E-68,5.9033736784851942401377813467665421996758397884639875624031199013748090201e-69
0.001953125,5.934729841099874E-67,9.4453978855763107842204501548264675194813436615423800998449918421996944322e-68
0.001953125,9.495567745759799E-66,1.5112636616922097254752720247722348031170149858467808159751986947519511092e-66
0.001953125,1.5192908393215678E-64,2.4180218587075355607604352396355756849872239773548493055603179116031217746e-65
0.001953125,2.4308653429145085E-63,3.8688349739320568972166963834169210959795583637677588888965086585649948394e-64
0.001953125,3.8893845486632136E-62,6.1901359582912910355467142134670737535672933820284142222344138537039917431e-63
0.001953125,6.223015277861142E-61,9.904217533266065656874742741547318005707669411245462755575062165926386789e-62
0.001953125,9.956824444577827E-60,1.5846748053225705050999588386475708809132271057992740408920099465482218862e-60
0.001953125,1.5930919111324523E-58,2.535479688516112808159934141836113409461163369278838465427215914477155018e-59
0.001953125,2.5489470578119236E-57,4.0567675016257804930558946269377814551378613908461415446835454631634480288e-58
0.001953125,4.078315292499078E-56,6.490828002601248788889431403100450328220578225353826471493672741061516846e-57
0.001953125,6.525304467998525E-55,1.0385324804161998062223090244960720525152925160566122354389876385698426954e-55
0.001953125,1.044048714879764E-53,1.6616519686659196899556944391937152840244680256905795767023802217117483126e-54
0.001953125,1.6704779438076223E-52,2.6586431498654715039291111027099444544391488411049273227238083547387973001e-53
0.001953125,2.6727647100921956E-51,4.2538290397847544062865777643359111271026381457678837163580933675820756802e-52
0.001953125,4.276423536147513E-50,6.8061264636556070500585244229374578033642210332286139461729493881313210883e-51
0.001953125,6.842277657836021E-49,1.0889802341848971280093639076699932485382753653165782313876719021010113741e-49
0.001953125,1.0947644252537633E-47,1.7423683746958354048149822522719891976612405845065251702202750433616181986e-48
0.001953125,1.7516230804060213E-46,2.7877893995133366477039716036351827162579849352104402723524400693785891178e-47
0.001953125,2.802596928649634E-45,4.4604630392213386363263545658162923460127758963367044357639041110057425884e-46
0.001953125,4.484155085839415E-44,7.1367408627541418181221673053060677536204414341387270972222465776091881415e-45
0.001953125,7.174648137343064E-43,1.1418785380406626908995467688489708405792706294621963355555594524174701026e-43
0.001953125,1.1479437019748901E-41,1.8270056608650603054392748301583533449268330071395141368888951238679521642e-42
0.001953125,1.8367099231598242E-40,2.9232090573840964887028397282533653518829328114232226190222321981887234628e-41
0.001953125,2.938735877055719E-39,4.6771344918145543819245435652053845630126924982771561904355715171019575404e-40
0.001953125,4.70197740328915E-38,7.4834151869032870110792697043286153008203079972434499046969144273631320647e-39
0.001953125,7.52316384526264E-37,1.1973464299045259217726831526925784481312492795589519847515063083781011301e-37
0.001953125,1.2037062152420224E-35,1.915754287847241474836293044308125517009998847294323175602410093404961716e-36
0.001953125,1.925929944387236E-34,3.0652068605555863597380688708930008272159981556709170809638561494479009953e-35
0.001953125,3.0814879110195774E-33,4.9043309768889381755809101934288013235455970490734673295421698391011790646e-34
0.001953125,4.930380657631324E-32,7.8469295630223010809294563094860821176729552785175477272674717362284350661e-33
0.001953125,7.888609052210118E-31,1.2555087300835681729487130095177731388276728445628076363627952183783787372e-31
0.001953125,1.262177448353619E-29,2.0088139681337090767179408152284370221242765513004922181803660917226162662e-30
0.001953125,2.0194839173657902E-28,3.2141023490139345227487053043654992353988424820807875490450625998855194212e-29
0.001953125,3.2311742677852644E-27,5.1425637584222952363979284869847987766381479713292600606450192015917897732e-28
0.001953125,5.169878828456423E-26,8.2281020134756723782366855791756780426210367541268087950596702335699468934e-27
0.001953125,8.271806125530277E-25,1.3164963221561075805178696926681084868193658806599903184216616088766816768e-25
0.001953125,1.3234889800848443E-23,2.1063941154497721288285915082689735789109854089334777419567051428514659001e-24
0.001953125,2.117582368135751E-22,3.3702305847196354061257464132303577262575766041147924117770027471006744152e-23
0.001953125,3.3881317890172014E-21,5.3923689355514166498011942611685723620121020133586667539572471886606272076e-22
0.001953125,5.421010862427522E-20,8.6277902968822666396819108178697157792109446204134142450435236373519230487e-21
0.001953125,8.673617379884035E-19,1.3804464475011626623491057308591545243289252439260093688475402118482110834e-19
0.001953125,1.3877787807814457E-17,2.2087143160018602597585691693746470976855936589615365069361700144887848892e-18
0.001953125,2.220446049250313E-16,3.5339429056029764156137106709993775041116647056343116842291567226561044986e-17
0.001953125,3.552713678800501E-15,5.6543086489647622649819370735753077514858666197963993693410431113545969121e-16
0.001953125,5.684341886080802E-14,9.0468938383436196239710993080145063163677725757769153154335299946611103057e-15
0.001953125,9.094947017729282E-13,1.4475030141349791398353754917251309276650535209701260094414366820143426262e-13
0.001953125,1.4551915228366852E-11,2.316004822615966623736437947335151506391664317489130992976772997652098445e-12
0.001953125,2.3283064365386963E-10,3.7056077161855465979116016872324946736850612723937938344128462390942598022e-11
0.001953125,3.725290298461914E-09,5.928972345896874529338640624436918817936645858798138436085504209536052236e-10
0.001953125,5.960464477539063E-08,9.4863557534349880567017430237971616567375639914687113069324603102777902686e-9
0.001953125,9.5367431640625E-07,1.5178169205491397368385214255589160130736609797922553165424528826218126636e-7
0.001953125,1.52587890625E-05,2.4285070726908825040208061072491057852490897331203693149452407747476420859e-6
0.001953125,0.000244140625,3.8856112394066704689333914547594827557609494097027086118027746556222506046e-5
0.001953125,0.00390625,6.2169464856145017260465874396037584487132389328134785354196217550595305464e-4
0.001953125,0.0625,0.0099342431800408424201352610479843634711829388487572018267626300390251900226
0.001953125,1,0.12499969643642288951861971002897699679090294654093587113905787834536409511
0.001953125,1.25,0.1426112642842351007899698881643051818125944157567306517379705764401553723
0.001953125,1.5,0.1564160237493158639522848631990742350167203719604215237848535611169308488
0.001953125,1.75,0.16737479849480440693285857746548133449878340370090791581678177496102035686
0.001953125,2,0.17620758404820814241895599699603665166940548956438728761561092420963950934
0.001953125,2.25,0.18343684760900528530958722985726232527583410928086406915206730249122884427
0.001953125,2.5,0.18943977029690208687450998924976546751592663118443427375762939691278996114
0.001953125,2.75,0.19449053597440452871044283486002573267521274718478667589354033915825146809
0.001953125,3,0.19879089813680130310381845388604208494173811097279634395608753147937729094
0.001953125,3.25,0.202491432951783502809377513830627666410382325252796104203149734899181018
0.001953125,3.5,0.20570617113982741749972798006295853368322215628496874989151126311803996432
0.001953125,3.75,0.20852270281315294441296389958873225526360889208939154223546799724047107717
0.001953125,4,0.21100922056279687353399868992855125037686776886216629429801871875565173103
0.001953125,4.25,0.21321948787516388236042670509095105670187816267049374271925981926950833509
0.001953125,4.5,0.21519639033573029593546661004356701968236257422220820783869920661930819545
0.001953125,4.75,0.21697450797281466544631185528276840072454233480092911093970326279783468488
0.001953125,5,0.21858200309919377230946958905077455923406645919756204359247551880242885307
0.001953125,5.25,0.22004202333922561993669398858685972168346616342106322851701391528959692939
0.001953125,5.5,0.22137375689150009824802311542877112182117462291644337603208001092292557561
